id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2017-150697";"2017-12-28";"1";"Vente en l'état futur d'achèvement";"264000.0";"nan";"None";"LA LAGREMEUSE HAUTE";"B235";"13290";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0178";"None";"None";"55";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"64.0";"3.0";"None";"None";"None";"None";"nan";"5.348196";"43.48531";"000KV"
"2017-150697";"2017-12-28";"1";"Vente en l'état futur d'achèvement";"264000.0";"nan";"None";"LA LAGREMEUSE HAUTE";"B235";"13290";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0178";"None";"None";"38";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"5.348196";"43.48531";"000KV"
"2017-150701";"2017-12-22";"1";"Vente en l'état futur d'achèvement";"420000.0";"925.0";"None";"AV GALILEE";"1166";"13290";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0182";"None";"None";"26";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"100.0";"5.0";"None";"None";"None";"None";"nan";"5.344329";"43.484335";"000KV"
"2017-150656";"2017-12-22";"1";"Vente";"230000.0";"40.0";"None";"PL JEAN DOMINIQUE CASSINI";"1459";"13100";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0102";"None";"None";"100";"62.39";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"47.0";"3.0";"None";"None";"None";"None";"nan";"5.34415";"43.490752";"000KV"
"2017-150694";"2017-12-22";"1";"Vente";"205000.0";"40.0";"None";"RUE JEAN PIERRE SAEZ";"6813";"13100";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0166";"None";"None";"151";"59.62";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"60.0";"3.0";"None";"None";"None";"None";"nan";"5.345592";"43.484744";"000KV"
"2017-150804";"2017-12-22";"1";"Vente";"162823.0";"35.0";"None";"RUE NEIL ARMSTRONG";"0117";"13100";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0170";"None";"None";"42";"44.09";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"44.0";"2.0";"None";"None";"None";"None";"nan";"5.346972";"43.483698";"000KV"
"2017-150656";"2017-12-22";"1";"Vente";"230000.0";"40.0";"None";"PL JEAN DOMINIQUE CASSINI";"1459";"13100";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0102";"None";"None";"79";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"5.34415";"43.490752";"000KV"
"2017-150656";"2017-12-22";"1";"Vente";"230000.0";"40.0";"None";"PL JEAN DOMINIQUE CASSINI";"1459";"13100";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0102";"None";"None";"70";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"5.34415";"43.490752";"000KV"
"2017-150804";"2017-12-22";"1";"Vente";"162823.0";"35.0";"None";"RUE NEIL ARMSTRONG";"0117";"13100";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0170";"None";"None";"8";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"5.346972";"43.483698";"000KV"
"2017-150210";"2017-12-19";"1";"Vente en l'état futur d'achèvement";"8345853.5";"nan";"None";"LE PETIT ARBOIS BAS";"B323";"13290";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0122";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"4869.0";"5.341608";"43.489214";"000KV"
"2017-150509";"2017-12-18";"1";"Vente en l'état futur d'achèvement";"201000.0";"nan";"None";"LA LAGREMEUSE HAUTE";"B235";"13290";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0175";"None";"None";"72";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"59.0";"3.0";"None";"None";"None";"None";"nan";"5.348985";"43.48393";"000KV"
"2017-150509";"2017-12-18";"1";"Vente en l'état futur d'achèvement";"201000.0";"nan";"None";"LA LAGREMEUSE HAUTE";"B235";"13290";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0175";"None";"None";"34";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"5.348985";"43.48393";"000KV"
"2017-150335";"2017-12-08";"1";"Vente";"226420.0";"295.0";"None";"RUE NEIL ARMSTRONG";"0117";"13100";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0171";"None";"None";"223";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"55.0";"3.0";"None";"None";"None";"None";"nan";"5.346535";"43.485908";"000KV"
"2017-149937";"2017-12-05";"1";"Vente en l'état futur d'achèvement";"271000.0";"160.0";"None";"RUE DE FRESSE DE MONVAL";"1136";"13100";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0167";"None";"None";"14";"62.39";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"62.0";"3.0";"None";"None";"None";"None";"nan";"5.345717";"43.484452";"000KV"
"2017-149937";"2017-12-05";"1";"Vente en l'état futur d'achèvement";"271000.0";"160.0";"None";"RUE DE FRESSE DE MONVAL";"1136";"13100";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0167";"None";"None";"235";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"5.345717";"43.484452";"000KV"
"2017-149925";"2017-12-01";"1";"Vente en l'état futur d'achèvement";"276000.0";"nan";"None";"LA LAGREMEUSE HAUTE";"B235";"13290";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0178";"None";"None";"81";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"64.0";"3.0";"None";"None";"None";"None";"nan";"5.348196";"43.48531";"000KV"
"2017-149925";"2017-12-01";"1";"Vente en l'état futur d'achèvement";"276000.0";"nan";"None";"LA LAGREMEUSE HAUTE";"B235";"13290";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0178";"None";"None";"24";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"5.348196";"43.48531";"000KV"
"2017-149932";"2017-11-30";"1";"Vente en l'état futur d'achèvement";"208000.0";"nan";"None";"LA LAGREMEUSE HAUTE";"B235";"13290";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0178";"None";"None";"78";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"41.0";"2.0";"None";"None";"None";"None";"nan";"5.348196";"43.48531";"000KV"
"2017-149932";"2017-11-30";"1";"Vente en l'état futur d'achèvement";"208000.0";"nan";"None";"LA LAGREMEUSE HAUTE";"B235";"13290";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0178";"None";"None";"1";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"5.348196";"43.48531";"000KV"
"2017-149745";"2017-11-29";"1";"Vente en l'état futur d'achèvement";"316000.0";"25.0";"None";"RUE ALAIN DECAUX";"4175";"13100";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0177";"None";"None";"54";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"82.0";"4.0";"None";"None";"None";"None";"nan";"5.348621";"43.484466";"000KV"
"2017-149745";"2017-11-29";"1";"Vente en l'état futur d'achèvement";"316000.0";"25.0";"None";"RUE ALAIN DECAUX";"4175";"13100";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0177";"None";"None";"9";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"5.348621";"43.484466";"000KV"
"2017-149864";"2017-11-27";"1";"Vente en l'état futur d'achèvement";"206000.0";"nan";"None";"LA LAGREMEUSE HAUTE";"B235";"13290";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0175";"None";"None";"66";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"63.0";"3.0";"None";"None";"None";"None";"nan";"5.348985";"43.48393";"000KV"
