id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-46295";"2021-05-06";"1";"Vente";"290000.0";"360.0";"None";"AV NICOLAS COPERNIC";"0716";"13100";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0107";"None";"None";"136";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"65.0";"3.0";"None";"None";"None";"None";"nan";"5.344715";"43.489494";"000KV"
"2021-46295";"2021-05-06";"1";"Vente";"290000.0";"360.0";"None";"AV NICOLAS COPERNIC";"0716";"13100";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0107";"None";"None";"81";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"5.344715";"43.489494";"000KV"
"2021-46295";"2021-05-06";"1";"Vente";"290000.0";"360.0";"None";"AV NICOLAS COPERNIC";"0716";"13100";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0107";"None";"None";"40";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"5.344715";"43.489494";"000KV"
"2021-46397";"2021-05-04";"1";"Vente en l'état futur d'achèvement";"137100.0";"nan";"None";"None";"None";"None";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0169";"None";"None";"65";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"5.34651";"43.483678";"000KV"
"2021-46397";"2021-05-04";"1";"Vente en l'état futur d'achèvement";"137100.0";"nan";"None";"None";"None";"None";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0169";"None";"None";"9";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"5.34651";"43.483678";"000KV"
"2021-46373";"2021-04-29";"1";"Vente en l'état futur d'achèvement";"221400.0";"nan";"None";"None";"None";"None";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0169";"None";"None";"38";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"5.34651";"43.483678";"000KV"
"2021-46373";"2021-04-29";"1";"Vente en l'état futur d'achèvement";"221400.0";"nan";"None";"None";"None";"None";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0169";"None";"None";"108";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"5.34651";"43.483678";"000KV"
"2021-46147";"2021-04-28";"1";"Vente";"225000.0";"25.0";"None";"RUE ALAIN DECAUX";"4175";"13100";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0177";"None";"None";"50";"59.65";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"59.0";"3.0";"None";"None";"None";"None";"nan";"5.348621";"43.484466";"000KV"
"2021-46147";"2021-04-28";"1";"Vente";"225000.0";"25.0";"None";"RUE ALAIN DECAUX";"4175";"13100";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0177";"None";"None";"2";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"5.348621";"43.484466";"000KV"
"2021-46145";"2021-04-27";"1";"Vente";"351100.0";"120.0";"None";"RUE DU VALLON DE MION";"3073";"13100";"13001";"Aix-en-Provence";"13";"None";"None";"13001000KV0150";"None";"None";"171";"79.37";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"79.0";"3.0";"None";"None";"None";"None";"nan";"5.345902";"43.486797";"000KV"
